Smiles,InchiKeys,experimental_value
CC1CCCN1CCc1cc2cc(-c3cncc(C#N)c3)ccc2o1,UGELZTGBPPXJPE-UHFFFAOYSA-N,1
COc1ncc(-c2ccc(C3CC(N4CCCC4C)C3)cc2)cn1,DLNFWRTZALVTSJ-UHFFFAOYSA-N,1
COc1ncc(-c2ccc3cc(CCN4CCCC4C)ccc3c2)cn1,GCDHZFDHJDQKFR-UHFFFAOYSA-N,1
CC1CCCN1C1CC(c2ccc(-c3cncnc3)cc2)C1,XRYDMMOPQTWUSE-UHFFFAOYSA-N,1
O=C1NCN(c2ccccc2)C12CC[N+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,GFORFEKVQXJTEI-UHFFFAOYSA-N,1
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,HHCYCBKPWYJVEB-UHFFFAOYSA-N,1
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,1
CC1CCCN1CCc1ccc2cc(-n3ncccc3=O)ccc2c1,YBHLETUAEBDXIP-UHFFFAOYSA-N,1
Fc1ccc(-n2cc(C3CCN(CCN4CCNC4=S)CC3)c3ccccc32)cc1,UDRWVFGKMDCPTL-UHFFFAOYSA-N,1
CN1CCN(CCCN(C(=O)Nc2ccc(F)c(Cl)c2)C2CCC3(c4cccc(N)c4)CC23)CC1,XNXZHSREQUABAF-UHFFFAOYSA-N,1
C[N+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,OGQHWELSDGZYOF-UHFFFAOYSA-N,1
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,LKUBJXGOOGUQGP-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1,YEQFSCLZXBNXBX-UHFFFAOYSA-N,1
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,OOGJQPCLVADCPB-UHFFFAOYSA-N,1
Cc1ccc(O)c(C(CC[N+](C(C)C)C(C)C)c2ccccc2)c1,WGOANEPMJOTKQS-UHFFFAOYSA-N,1
COc1ccc(CC[N+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,JVNWKLHXJYUXET-UHFFFAOYSA-N,1
O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,MJIFNEGWZJIOKW-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(Cl)cc4)n2C)CC3)no1,LOGDXDWDCZTLOS-UHFFFAOYSA-N,1
O=C(c1ccc(O)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CC(O)CO1,HQINFIWNVUIGOE-UHFFFAOYSA-N,1
Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,CTKNMSVWMRRCPW-UHFFFAOYSA-N,1
Oc1ccc(CC[N+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,MLWLNEPGPPVSDC-UHFFFAOYSA-N,1
CCOC(=O)C1=CC2(CC)CCC[N+]3CCc4c(n1c1ccccc41)C32,MEXIBBKUPJTJRY-UHFFFAOYSA-N,1
Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)n2C)CC3)o1,VBQPFBIQLMTMNM-UHFFFAOYSA-N,1
COc1ccccc1-c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C,PKAXIMFUJIQFKS-UHFFFAOYSA-N,1
Cc1nc2ccccc2n1C1CC2COCC(C1)N2C,KICCGGGRQKPBIH-UHFFFAOYSA-N,1
COc1cc(N)c(Cl)cc1C(=O)NC1CCC(CCCOc2ccc(F)cc2)CC1OC,FVGPHGAWVQFSPG-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(F)c3)CC2)C1,ILPQLCKGOBBIPI-UHFFFAOYSA-N,1
CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1,JEUSLIAZMCQUCV-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccc4Cl)n2C)CC3)no1,OVGUUSWJYHCFLN-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(O)c3)CC2)C1,LCQVKIHGMHPFIJ-UHFFFAOYSA-N,1
CCOC(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC(=O)N1Cc1ccc(C(=N)N(C)C)cc1,JEKPFWUXURUETD-UHFFFAOYSA-N,1
CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,FYHCHSNOXWVJJT-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccc(Cl)c4)n2C)CC3)no1,DEIXGWIQADAVTO-UHFFFAOYSA-N,1
N#Cc1ccc2cc1Oc1ccc3c(c1)C(CC3)N1CCC(NCc3cncn3C2)C1=O,DFXJFEAHWLUMQK-UHFFFAOYSA-N,1
CC(C)(C)OC(=O)N1CC2CC(CN(CC(O)COc3ccc(C#N)cc3)C2)C1,FFDOXSIZJSGXOQ-UHFFFAOYSA-N,1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,GUGOEEXESWIERI-UHFFFAOYSA-N,1
CCCCCCCCC(=O)NCc1ccc(CC(O)CO)c(OC)c1,ZPRQZUALRQVYOJ-UHFFFAOYSA-N,1
CCOc1cc(CCN2CCC(Nc3nc4ccccc4o3)CC2)ccc1OC,LMTKAUFXBCGCJZ-UHFFFAOYSA-N,1
CC1CCCN1C1CC(c2ccc(-c3ccc(C#N)cc3)cc2)C1,DQUUMUHVZGIZNI-UHFFFAOYSA-N,1
Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1,XWGNKABGVNJFEL-UHFFFAOYSA-N,1
Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1,XWGNKABGVNJFEL-UHFFFAOYSA-N,1
CC1CCCN1CCc1ccc2cc(-c3ccc(C#N)cc3)ccc2c1,AULXVGJBLMFJCV-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccncn3)CC2)C1,VAKGFJFMMQQEIE-UHFFFAOYSA-N,1
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,1
COc1ccc(CCN(CCCC(C)(C#N)c2ccc(OC)c(OC)c2)C(C)C)cc1OC,VYLABSMQLHGDJB-UHFFFAOYSA-N,1
N#Cc1ccc(Cn2cncc2CCNC2CCN(c3ccccc3)C2=O)cc1,SBIMUGAYTIMITB-UHFFFAOYSA-N,1
N#Cc1ccc2cc1Oc1ccc3c(c1)C(CCO3)N1CCC(NCc3cncn3C2)C1=O,OBKQMZCTGOCMFK-UHFFFAOYSA-N,1
CCc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,ZLAONGKKHFSBFL-UHFFFAOYSA-N,1
O=c1[nH]c2ccccc2n1CCCCN1CCC(n2c(=O)[nH]c3ccc(Cl)cc32)CC1,KVHVIXZNQRDNNU-UHFFFAOYSA-N,1
CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C(=O)N(C)C2CCN(CCCc3ccc(Cl)cc3)C2)C1,CZSUCMAQMLGPBX-UHFFFAOYSA-N,1
CCN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1,KHLCOSGYTJPDNE-UHFFFAOYSA-N,1
CC[N+](CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,SEAREBDZGMUOLJ-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cc(Cl)ncn3)CC2)C1,ZUQHPBCHCUTNSK-UHFFFAOYSA-N,1
CCCC[N+](Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O,GNRZWIIEHAXFFH-UHFFFAOYSA-N,1
N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCOCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1,KOCNCYHZFRVCOW-UHFFFAOYSA-N,1
CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc1cccc(Cl)c1C#N,PZUJQWHTIRWCID-UHFFFAOYSA-N,1
CC1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,KFHYZKCRXNRKRC-UHFFFAOYSA-N,1
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2c1=CCC(C(F)(F)F)C=2,LEKUJLQQZVXLAU-UHFFFAOYSA-N,1
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,FOHHNHSLJDZUGQ-UHFFFAOYSA-N,1
Fc1ccc(-n2cc(C3CCNCC3)c3ccc(Cl)cc32)cc1,MKWVUUFAZUWDSJ-UHFFFAOYSA-N,1
CN(CCN(C)[S+2](O)(O)c1ccc(N[S+2](C)(O)O)cc1)c1nc2ccccc2n1C,JAQYIKMJEHZODL-UHFFFAOYSA-N,1
COc1cccc(C2CCN(C3CCC(C(=O)NCc4cc(C(F)(F)F)cc(C(F)(F)F)c4)(C(C)C)C3)CC2)c1,ZLIAFORUHVKWQY-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccnc3)CC2)C1,NCJKKRRMGQPBBA-UHFFFAOYSA-N,1
C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,JGGRYQAHJOLGSU-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccn4)n2C)CC3)no1,PZBTVBSLNQDOCG-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccn4C)n2C)CC3)no1,AZIHSCHAYYVWIY-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(F)c(F)c4)n2C)CC3)n(C)n1,KEOZDNQHXGUGES-UHFFFAOYSA-N,1
Cc1ccn2c3c(nc2c1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,NAFIXABLSKOHPB-UHFFFAOYSA-N,1
COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,UIZPEXQHMIZQPQ-UHFFFAOYSA-N,1
c1ccc(C[N+]2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,IUUXSMYSJYIRRG-UHFFFAOYSA-N,1
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,RXSMNWVUQNFEGE-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5nc(C)c(C)nc5c4)n2C)CC3)no1,VSUKSHADZRDBII-UHFFFAOYSA-N,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,1
O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1,MVXMOYOFQUJRHY-UHFFFAOYSA-N,1
CN(C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1)C1NC=CC(=O)N1,DRGSZTLTIYQWJD-UHFFFAOYSA-N,1
COc1cc2c(cc1OC)C(CC(O)c1ccc(Cl)cc1)N(C)CC2,MSXJZHUTIDWQBZ-UHFFFAOYSA-N,1
CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O,JZEQFVDLSUHIOP-UHFFFAOYSA-N,1
CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1,BQBSHJUQVIWEFM-UHFFFAOYSA-N,1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,GUGOEEXESWIERI-UHFFFAOYSA-N,1
CCn1nc(Cc2ccc(-c3ccccc3)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C3CCCCC3)CC2c2cccc(F)c2)CC1,SXKNFGNGCSTXQU-UHFFFAOYSA-N,1
CC(=O)c1cccc(NC(=O)NC2CCCCC2CN2CCCC(Cc3ccc(F)cc3)C2)c1,ASRDPULQBHFPGU-UHFFFAOYSA-N,1
CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1,KMMAIJQUGOQJIO-UHFFFAOYSA-N,1
CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2)cc1,XQPLBOPPSBAOCM-UHFFFAOYSA-N,1
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-N,1
CCC[S+]([O-])CCC[N+](CC)CC(O)COc1ccc(C#N)cc1,ZMIXNTFGXGIDHD-UHFFFAOYSA-N,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,1
N#Cc1ccc(Cn2cncc2C[N+](CCC[NH])C2CCN(Cc3cccc(Cl)c3)C2=O)cc1,FNOOCAJCXVWPOF-UHFFFAOYSA-N,1
Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1,DAUSNPVLXKKGNQ-UHFFFAOYSA-N,1
Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1,DAUSNPVLXKKGNQ-UHFFFAOYSA-N,1
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)on6)cc5CC4)n3C)cccc2n1,RFIKMECJVGIKGU-UHFFFAOYSA-N,1
CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1,AGSWPZXGFSITHZ-UHFFFAOYSA-N,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,SLVMESMUVMCQIY-UHFFFAOYSA-N,1
C[N+]1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,ZMSOBBRPDJQSNR-UHFFFAOYSA-N,1
CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,MREBEPTUUMTTIA-UHFFFAOYSA-N,1
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,LDVRAJSZIPKJHL-UHFFFAOYSA-N,1
Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,FJQPCZJPOCTEEK-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cnccn3)CC2)C1,AZJYWGPAABBHMB-UHFFFAOYSA-N,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,1
[NH]CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,QMEYMCGPEYQIJC-UHFFFAOYSA-N,1
CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)Nc4c(Cl)cncc4Cl)c(=O)c4cccnc43)c2)c1,ADEIAEFCLQCOPY-UHFFFAOYSA-N,1
CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)c(Cl)c2)cc1,GEFDXUZHLNJUMR-UHFFFAOYSA-N,1
COc1ccc(C(O)CC2c3cc(OC)c(OC)cc3CCN2C)cc1,BFMVLFRBLSHGFU-UHFFFAOYSA-N,1
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,NKANXQFJJICGDU-UHFFFAOYSA-N,1
CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2cccc(O)c2)cc1,GCGKFTIWTCUWFE-UHFFFAOYSA-N,1
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6ncc(C)o6)cc5CC4)n3C)cccc2n1,PXLGTQTYMBVHFH-UHFFFAOYSA-N,1
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1,NZPLLWYDJFVQEH-UHFFFAOYSA-N,1
Cc1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1,KHTUQDQSUXMHQA-UHFFFAOYSA-N,1
O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1,ANNTYLPRTLHHJC-UHFFFAOYSA-N,1
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,1
CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2O)cc1,PVNKTEVKLYEYIV-UHFFFAOYSA-N,1
CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cncnc3)CC2)C1,YIQYJBKGDDWABP-UHFFFAOYSA-N,1
NC(CC(=O)N1CCCC1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F,BCERHNLMUQCEJQ-UHFFFAOYSA-N,1
O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F,WSWLUEDPQUZWSK-UHFFFAOYSA-N,1
Fc1ccc2c(C3CNCCC3F)c(C3CCCCCC3)[nH]c2c1,DDHVVNWORMJVLB-UHFFFAOYSA-N,1
O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F,WSWLUEDPQUZWSK-UHFFFAOYSA-N,1
CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN)c1ccccc1,RZCZKNPTZMHVSH-UHFFFAOYSA-N,1
COC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O,WCNNBKIYWOWYQW-UHFFFAOYSA-N,1
CN(C)C1CCC(c2ccccc2)(N2CCC(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)CC1,WDABUKHQRJDQAX-UHFFFAOYSA-N,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N+](CC)CC)c(I)c1,SSEQSOKGNDFROE-UHFFFAOYSA-N,1
CCn1nc(Cc2ccc(C#N)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1,OLUONKODHNDKJM-UHFFFAOYSA-N,1
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,CJDRUOGAGYHKKD-UHFFFAOYSA-N,1
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,CJDRUOGAGYHKKD-UHFFFAOYSA-N,1
CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2ccc(Cl)cc2)CC1,NFGNMJPMZYHRDW-UHFFFAOYSA-N,1
Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1,UAAYMUFGVDVSAW-UHFFFAOYSA-N,0
C=CC1CN2CCC1CC2C(C)(O)c1ccnc2ccc(OC)cc12,DNZPRATYNIWQSM-UHFFFAOYSA-N,0
FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12,QAMSRCBRYCCTDQ-UHFFFAOYSA-N,0
N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCNCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1,IQPFJRBMUWFJBI-UHFFFAOYSA-N,0
COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,HXTGXYRHXAGCFP-UHFFFAOYSA-N,0
CC(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCC(F)C1,BFIKQYQPKFNDJQ-UHFFFAOYSA-N,0
FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12,QAMSRCBRYCCTDQ-UHFFFAOYSA-N,0
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1,JPKSISIJPSXDLA-UHFFFAOYSA-N,0
CC(O)(c1ccccc1)C1C=CC(C(c2cc[n+](O)cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1,MNZDOBBBEUPYAL-UHFFFAOYSA-N,0
CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,NMPOSNRHZIWLLL-UHFFFAOYSA-N,0
CN(C)C(=O)C(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCCC1,YEPCEIRFLLOWNI-UHFFFAOYSA-N,0
CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=CC2c2ccccc2)CC1,ZQSDLUMGBYOLJF-UHFFFAOYSA-N,0
CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2F)cc1,REAHNDOSRQJMDW-UHFFFAOYSA-N,0
CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,NMPOSNRHZIWLLL-UHFFFAOYSA-N,0
N#Cc1c(Cl)cccc1OCC(O)CN1CCCC1Cc1ccccc1,HSTMYWDURDPUMY-UHFFFAOYSA-N,0
Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1,VMCOPKACEUYYIT-UHFFFAOYSA-N,0
